Não regular,Não regular
1ª Série Militar,Pré-Militar
1ª Série ENEM,Colégio
2ª Série Militar,Pré-Militar
2ª Série ENEM,Colégio
3ª Ano + AFA/EN/EFOMM,Pré-Militar
3ª Ano + AFA,Pré-Militar
3ª Ano + EFOMM/ESPCEX,Pré-Militar
3ª Ano + ESPCEX,Pré-Militar
3ª Ano + IME-ITA,Pré-Militar
3ª Ano + Pré-Vestibular ELITE +,Pré-Vestibular
3ª Ano + Pré-Vestibular Manhã,Pré-Vestibular
6º Ano,Colégio
7º Ano,Colégio
8º Ano,Colégio
9º Forte,Colégio
9º Militar,Pré-Militar
AFA/EAAr/EFOMM,Pré-Militar
AFA/EN/EFOMM,Pré-Militar
AFA,Pré-Militar
EFOMM/ESPCEX,Pré-Militar
ESPCEX,Pré-Militar
EsSA,Pré-Militar
IME-ITA,Pré-Militar
IME-ITA Especial,Pré-Militar
Pré-Vestibular ELITE +,Pré-Vestibular
Pré-Vestibular Manhã,Pré-Vestibular
Pré-Vestibular Noite,Pré-Vestibular
